particle n.微粒,极小量
perspective n.视角,观点,远景
cetacean n.鲸类动物
plankton n.浮游生物
neanderthal ad.穴居人的
guild n.行会,协会
nile n.尼罗河
decoration n.装饰(品)
asteroid n.小行星
chimpanzee n.黑猩猩
projection n.发射
pastoralism n.田园主义,牧歌体
geologic a.地质的
pleistocene n./a.[地]更新世(的)(一段时期)
snowfall n.降雪,降雪量
netherlands n.荷兰[国家]
pollutant n.污染物质
elite n.精英,精华
seawater n.海水
chicago n.芝加哥
boston n.波士顿
opportunist n.机会主义者,投机取巧者
reflective a.反射的,反映的,沉思的
accumulation n.积聚,堆积物
alaska n.阿拉斯加州(美国州名)
millennium n.太平盛世,一千年
favorable a.赞成的,有利的
kinetoscope n.  活动电影放映机
defense n.国防部,防卫
virus n.病毒
myth n.神话
arid a.干旱的,贫瘠的
erode v.侵蚀,腐蚀
portray v.描绘
glaciation n.冻结成冰,冰河作用
stencil n.模版,蜡纸.vt.用蜡纸印刷
distinctive a.有区别的,独特的
toxic a.有毒的,中毒的
gull n.海鸥.v.欺骗
herbivore n.草食动物
tornado n.龙卷风
temperate a.温和的,适度的,有节制的
isotope n.同位素
parlor n.客厅,会客室
navigate v.航行,航海
evolutionary a.进化的,发展的,演变的
variability n.可变性
highland n.高地,丘陵地带
motif n.主题,主旨
challenger n.挑战者
beaver n.海狸(毛皮)
physiological a.生理(学)的
encode vt.把...编码
pueblo n.印第安人村庄
pebble n.小圆石,小鹅卵石
sumerian n.闪族人[语]
gazelle n.瞪羚,小羚羊
columbia n.哥伦比亚
statistic n.统计数值
evaporation n.蒸发
archaeology n.考古学
dweller n.居住者,居民
seasonal a.季节的,周期性的
regional a.整个地区的,地域性地
sandstone n.沙岩
modem n.[计]调制解调器
originally ad.最初,原先
salinity n.盐分,盐度
dynasty n.朝代,王朝
livestock n.家畜
algae n.水藻
lowland n.低地
vertebrate n.脊椎动物
sixteenth num.第十六,十六分之一
anthropologist n.人类学家
terrain n.地形
wildebeest n.羚羊(其中一种)
hormone n.荷尔蒙,激素
pellet n.小球
mesozoic n./a.中生代(的)
denmark n.丹麦
gar n.雀鳝属鱼, 雀鳝
functional a.功能的
cultivation n.培养,教养
colonize vt.拓殖,殖民
flipper n.鳍状肢
peninsula n.半岛
droplet n.小滴
paleontologist n.古生物学者
apprentice n.学徒.v.当学徒
grandma n.奶奶
fossilization n.化石作用
hind a.后边的,后面的
ice-free a.不冻的
fern n.蕨类植物
aurora n.黎明的女神,极光
skull n.头脑,头骨
scandinavian n.斯堪的纳维亚人[语]
long-term a.长期的
investigator n.调查人
canopy n.天篷,遮篷
reservoir n.水库,蓄水池
potash n.碳酸钾,苛性钾
exhibitor n.展出者,显示者
shale n.页岩,泥板岩
maker n.制造者
perceive v.察觉,感知
hyper a.亢奋的,高度紧张的
warren n.养兔场,大杂院
vent n.出口.v.排出,发泄
investor n.投资者
linguistic a.语言(学)上的
wagon n.四轮马车,货车
rite n.仪式,典礼
hawaii n.夏威夷
celebrity n.名声,名人
calcium n.钙
proxy n.代理人
neolithic a.新石器时代的
spore n.孢子
texas n.德克萨斯州(美国州名)
runoff n.径流量,流出
watercolor n.水彩颜料,水彩画(法)
mantle n.斗蓬.v.披风,覆盖
crossbill n.交喙鸟
emergence n.浮现,露出
hominid n.原始人类
kittiwake n.三趾鸥
sanctuary n.避难所
theatrical a.戏剧性的
laborer n.劳动者
aluminum n.铝
dramatically ad.戏剧地,引人注目地
dependence n.依靠,信任
centimeter n.厘米
colonization n.殖民地化,殖民
invertebrate a./n.无脊椎的,无骨气的人
symbiotic a.共生的
tennessee n.田纳西州
eruption n.爆发,火山灰
engraving n.雕刻术,雕版
costume n.装束,服装
nouveau a.新近到达的,最近产生的
gland n.腺
glaze vi.变呆滞.vt.上釉.n.釉(料)
martian n./a.火星人(的)
mercantile a.贸易的,商业的
fossilize v.成化石,陈腐
countercurrent n.逆流,反向电流
potter n.陶工,制陶工人
aesthetic a.美学的,审美的
neighborhood n.附近,邻近
excavate v.挖掘,开凿
reclamation n.开垦,改造
aboriginal a.土著的,原来的
automatically ad.自动地,机械地
mississippi n.  密西西比河,密西西比州(美国州名)
recharge vt.再充电,再进攻,恢复精力
motivation n.动机
gene n.[遗传]因子,[遗传]基因
penetrate v.穿透,渗透,看穿
engrave v.雕刻,使铭记
graham a.全麦(面粉)的
turnpike n.收费公路
expressive a.表达的,意味深长的
secrete vt.隐藏,隐匿
astronomer n.天文学家
erie n.伊利(人)
inhibit vt.阻止妨碍抑制
yucatan n.尤卡坦半岛
alkali n.碱.a.碱性的
sedimentary a.沉积的,沉淀性的
symbolic a.象征的,符号的
conserve vt.保存,保藏
harvard n.哈佛大学(美国)
himalaya n.喜马拉雅山
present-day a.当前的,当代的
precipitation n.仓促
lewis n.[机] 吊楔,起重爪
oceanic a.海洋的
publisher n.出版者,发行人
boom n.繁荣.v.发隆隆声,兴隆
outflow n.流出(物)
ohio n.  俄亥俄州(美国州名)
southwestern a.西南的, 来自西南的
infantile a.幼稚的，幼儿的
crucial a.  至关紧要的
amnesia n.  健忘症
nutritional a.营养的,滋养的
verbal a.口头的
freshwater n.  淡水
crustal a. 地壳的
carbohydrate n.碳水化合物,醣类
sociologist n.  社会学家
indo-european n. 印欧语系, 说印欧语的人
seafloor n.  海底
script n.  手稿, 手迹
partially ad.  部分地
intrigue v.激起兴趣,耍阴谋 n.阴谋，密谋
artwork n.艺术品,美术品
kiln n.窑,炉
awareness n.  知道, 晓得
indium n.[化]铟
imprint v.  留下烙印
pennsylvania n.  宾夕法尼亚州（美国州名）
iridium n.  [化]铱
mobility n.  活动性, 灵活性
footprint n.足迹
unpredictable a.不可预知的
collector n.收藏家, 征收者
cooperation n.合作, 协作
enzyme n.[生化]酶
retrieve v.恢复,挽回,取回
silt n.淤泥.v.(使)淤塞
surveyor n. 测量员, 检查员
nutrition n.营养, 营养学
larva n.幼虫
genetic a.遗传的, 起源的
accumulator n.蓄电池,积聚者
rainwater n. 雨水
satire n.  讽刺(文学)
massachusetts n. 马萨诸塞(美国州名)
realism n.现实主义
lava n.熔岩, 火山岩
deco n. 装饰派艺术
descriptive a.描述的, 叙述的
ruminant n./a.反刍动物(的), 沉思的
stoneware n.  瓷器
barb n.鱼钩.vt.装倒钩于
forage n.  草料
nitinol n.[冶]镍钛诺(镍和钛的非磁性合金)
chick n.小鸡
potentially ad.  潜在地
precisely  ad.正好
egalitarian a.平等主义的
plover n.千鸟
shelve v.搁置
warbler n.鸣鸟
specialization n.  特殊化, 专门化
twig n.  嫩枝
workweek n.  一星期工作时间
extensively ad.广泛地，彻底地
clement a.仁慈的，温和的
nutritious a. 有营养的, 滋养的
eka-aluminum n. 类铝
mold n.  模子vt.浇铸, 塑造
mammoth n.猛犸,长毛象.a.庞大的
tellurium n.  碲
hopewell n. 霍普韦尔
fauna n.  动物群
indicator n.指示器
steamboat n.汽船
archaeopteryx n.  始祖鸟(古代生物)
disclaimer n. 放弃, 弃权
carbonate n.碳酸盐
southeastern a.东南方的
insulation n.  绝缘
missouri n. 密苏里州(美国州名)
seep v. 渗出
naturalist n.自然主义者
sloth n.懒惰
perceptual a. 感性的,知觉的
proterozoic n./a.原生代(的)
falcon n.猎鹰
orchid n. 兰花
semiarid a.半干旱的
renaissance n. 文艺复兴(时期)
sibling n.  兄弟姐妹
kestrel n.(一种)鹰
cognitive a.认知的，认识能力的
animation n.兴奋,活跃
sahara n.  撒哈拉沙漠
molt vi./n.脱毛,换毛
columbian a.美国的, 美洲的,哥伦布的
crystalline a.水晶(般)的,透明的
speculation n.思索, 做投机买卖
scandinavia n.斯堪的纳维亚（北欧地名）
continually ad.不断地，频繁地
calcite n.方解石
southward a.向南 a.向南的
proponent n.支持者，拥护者
partnership n.合伙(关系)
gender n.性别,(语法中的)性
ichthyosaur n.  鱼龙
niche n.壁龛,合适的职务(环境、位置等)
primate n.灵长类(动物)
tribal a.部落的,种族的
storytelling n.说书, 讲故事
stationary a.固定的,静止不动的
snowflake n.  雪花
pterosaur n.翼龙
realist n.现实主义者
populate v. 构成人口, 居住于
porous a.多孔渗水的
harbor n.海港
long-distance a.长途的,长距离的
tract n.传单,小册子,大片(土地或森林)
equatorial a.(近)赤道的
tiredness n. 疲劳,疲倦
iodine n.  碘, 碘酒
hypothalamus n.[解剖]视丘下部
songbird n.鸣禽,鸣鸟
interplay n.相互影响
topi n.  遮阳帽,[动]转角牛羚
ceremonial n.仪式.a.正式的
icebox n.  冷藏库
roost v./ n.栖息鸟巢
nestle v.依偎,（舒适地）安顿
tactic n. 策略, 战略
contaminate vt. 弄脏, 污染
carver n.雕刻匠
kohoutek n. [天]科胡特克彗星
immune a.免疫的
gill n.鳃,及耳[液量单位]
entrepreneur n.企业家, 主办人
feat n.功绩，伟业
meaningful a.意味深长的
agrarian a.有关土地的, 耕地的
canoes n.独木舟
starling n.欧掠鸟
additive a. 附加的.n.添加剂
odor n.气味
three-dimensional a.三维的, 立体的
exchanger n. 交换器, 换热器
psychodynamic a.精神动力的
lighthouse n.灯塔
palm n.手掌,掌状物
innovative a.创新的, 革新的
underlie vt.位于...之下, 成为...的基础
relic n.遗物, 废墟
gallium n.  镓
life-forms n. 生物
eggshell n.  蛋壳, 易碎的东西
invader n.  侵略者
pigment n.天然色素,颜料
silversmith n.  银器匠
biome n.  (生态)生物群系
hispanic a.西班牙的
reformer n.改革家, 改革运动者
mississippian a.密西西比河的 n.密西西比州人
convex a.凸出的
magma n.岩浆, 糊剂
saturate vt.使湿透,饱和
well-being n.幸福,健康
inclusion n.包含
cadmium n.[化]镉
dominance n.支配,优势
horticulture n.  园艺
cone n.圆锥体；
lifestyle n.生活方式
dispersal n.散布,传播,分散
residential a.住宅的, 居住的
indiana n.印地安那州
tectonic a.构造的, 建筑的
firn n. 粒雪, 积雪
adulthood n.成人期
consciously ad. 有意识地, 自觉地
supernatural a./n.超自然(的), 神奇(的)
nomadism n.游牧,流浪
catastrophe n.大灾难
selenium n.[化]硒
bantu n.班图人, 班图语
geothermal a.地热的
restoration n. 恢复, 归还
eddy n.旋转,漩涡
telecommuting n. 远程联机,  远程办公
metabolism n.新陈代谢
repress v.抑制，镇压
fir n.  [植]冷杉
short-lived a.短命的, 短暂的
superorganism n.[生]超个体(指群居昆虫等的群体)
harlem n.(纽约的）黑人住宅区
orleans n.奥尔良[法国]
controversial a.有争议的,引起争论的
geographic a.地理(学)的
peepshow n.西洋镜
anemone n.  [植]银莲花, [动]海葵
handedness n.  用右手或左手的习惯
billfish n.长嘴鱼,尖嘴鱼
plow v.耕, 犁
figurine n.  小雕像
polygon n.[数]多角形,多边形
hypothesize v. 假设,猜测
depletion n.损耗
ammonia n.[化]氨, 氨水
beringia n.白令海和楚可奇海海域
sedimentation n.沉淀,沉降
rectangular a.长方形的，矩形的
asphalt n.沥青
evergreen n.常绿树.a.常绿的
lizard n.  [动]蜥蜴
parental a.父母的
illumination n. 阐明, 启发
advertiser n.登广告者,广告客户
persian n.波斯人[语]
neonate n.初生婴儿
caterpillar n.  毛虫
vulnerable a.易受伤的，脆弱的
effectively ad.有效地
euphrates n.  幼发拉底河
gypsum n.石膏,
meltwater n.冰雪融化成的水
sector n.  部分, 部门
trillion num.万亿
isolation n.隔离，孤立
frontality n.正面描绘
tasmania n.  塔斯马尼亚岛, 塔斯马尼亚州(澳大利亚州名)
burgess n.(英国)市民，镇民
manganese n〈化〉锰
igneous a.(指岩石)火成的, 火的
zealand n. 西兰岛(丹麦最大的岛)
buck n.(一)美元；雄鹿(兔)
metropolis n.首都,大城市
botanical a.植物(学)的
lomas n.洛马斯(阿根廷东部的一城镇)
confederacy n.联盟,邦联
fertilize vt.使肥沃；使多产
raft n.木排(筏),救生圈 v.用筏子渡河
offshore a./ad.离岸的,近海的
hierarchy n.等级制度
interlock v.互锁
illinois n.  伊利诺斯州(美国州名)
sieve n 筛,滤网.v.  筛, 过滤
alpine a.高山的, 阿尔卑斯山的
monumental a.纪念碑的,不朽的
payment n.付款, 报酬, 偿还
don n.先生,阁下
compaction n. 压紧,紧束之状态
adaptive a.适合的, 适应的
census n.  人口普查
seattle n.  西雅图
spectacular a.引人入胜的, 壮观的
mathematician n.数学家
naturalistic a.自然的, 自然主义的
cenozoic n. 新生代,新生代之岩层 a.新生界的
parallel n.相似处；平行线.a.平行的,类似的
drastically ad.大幅度地, 彻底地
totally ad.完全地, 整全地
fulfill vt.履行,实现
narrative n.故事,叙述.a.叙述的
wilderness n. 荒野
woodcut n.  木刻
delta n.  三角州
putrefy v.(使)化脓, (使)腐烂
peculiar a.奇怪的, 特殊的, 独特的
deplete vt.  耗尽, 使衰竭
toddler n.  初学走路的孩子
amsterdam n.  阿姆斯特丹(荷兰首都)
reproductive a.生殖的,再生的,复制的
abigail n.  (贵妇人的贴身)使女
small-scale a. 小比例的,小规模的
educational a.教育(上)的
zigzag n.  z字形, 锯齿形
argon n.  [化]氩
genetically ad. 遗传(基因)方面
robin n.知更鸟
psychologist n.  心理学者
marseille n. 马赛(法国港口城市)
diver n.  潜水者
worksheet n.工作记录表
seabed n. 海底, 海床
angiosperm n.被子植物
circadian a.昼夜节律的,生理节奏的
seaway n.  海上航道
oversea a.外国的, 海外的
moth n.  蛾, 蛀虫
zoologist n.  动物学家
decomposition n.分解, 腐烂
caledonian  n./a.古苏格兰人(的), 苏格兰人（的）
wetland n.  潮湿的土壤, 沼泽地
coma n.  昏迷
fabric n.结构, 织物, 构造
cooler n.  冷却器
advent n.出现，到来
chondrite n. 球粒状陨石
digestive a. 消化的
embryo n.胚胎
allende n.  阿连德(在墨西哥, 西经 100o01' 北纬 25o20')
notably ad.显著地；著名地
nonetheless ad. 虽然如此,但是
hinterland n.  内地, 穷乡僻壤
mechanize v.  机械化
finch n. 雀类
oregon n.  俄勒冈州(美国州名)
steppe n.  特指西伯利亚一带没有树木的大草原
patch n.补丁 vt.补,修补
presidency n.  任期
fin n.  鳍, 鱼翅
subtractive a. 减去的,负的
mandan n. 曼丹人, 曼丹语
territorial a.领土的
predominate v.占优势, 支配
chiefly ad. 首要,主要地
craftspeople n.工匠; 手艺人
single-celled a.单细胞的
unskilled a.不熟练的,拙劣的
progressively ad.  日益增多地
high-speed a.高速的
graphic a. 绘画似的, 图解的
termite n.白蚁
inability n. 无能, 无力
reindeer n.  驯鹿
slush n.  烂泥 v.  溅湿
repression n.  镇压, 抑制
voyager n.航行者, 航海者
phonograph n.留声机, 电唱机
eurasia n.  欧亚大陆
cobalt n.  [化]钴
wale n.条痕
concur v.  同时发生
uncommon a.不凡的, 难得的
simplification n.  简化
chemically ad. 用化学, 以化学方法
fluke n.侥幸，偶然的机会
intricate a. 复杂的,难懂的
norway n.  挪威(北欧国家)
bombard vt. 炮轰；轰击
backbone n.脊梁骨；支柱
potassium n.   钾
cascade n.小瀑布
reconstruction n.  重建, 改造
silicate n.硅酸盐
journeyman n.熟练工人
long-lasting a. 持续时间长的
chondrule n.陨石球粒
accessible a.可得到的,易接近的
bacterial a.细菌的
homo n. 人, 同性恋者
incubation n.孵化, 熟虑
northeastern a.东北方的, 在东北的
waterway n.  水路, 排水沟
excavation n.  挖掘, 发掘
mutualism n.互助论,互利共生
capillary n./a.毛细管；毛状的
behavioral a.行为的
intact a.完好无缺的, 未经触碰的
tentacle n.(动物)触角
fertility n.肥沃, 多产
stagecoach n.公共马车
locally ad.在本地, 地方性地, 局部地
adjustment n.调整, 调节
figurative a.比喻的，借喻的
inscription n.  题字, 碑铭
appalachian a. 阿帕拉契山脉的
markedly ad.显著地,明显地
effectiveness n.  效力
overcast v. 遮盖,变暗.n. 覆盖, 阴天
remarkably ad.非凡地；显著地
cheep n.  吱吱的叫声 v.  吱吱地叫
flora n.  [罗神]花神
pollinator n.  授花粉器
efficiently ad.有效地；能胜任地
medieval a.中世纪的
jewelry n.  珠宝
differently ad.不同地，有差别地
putt vt.短打,把球轻轻打进洞
reshape vt. 改造, 再成形
metabolic a.新陈代谢的
methane n.甲烷,沼气
fundamentally ad.从根本上, 基本地
unprecedented a.空前的, 前所未有的
identity n.一致, 身份, 特征
cohesive a.粘着的
forerunner n.  先驱(者)
alertness n.  警戒, 机敏
recurrence n.  复发, 重现
predatory a.掠夺的,捕食生物的
moraine n. 冰碛
jurassic a. 侏罗纪的
literacy n.有文化,有教养
prosper vi.兴旺，繁荣
traditionally ad.传统上, 照惯例
analogous a. 类似的
cavendish n.(一种压成饼状的)板烟, 烟草饼
exogenous a.外生的,外界产生的
informative a. 提供消息的, 情报的
ooze n.软泥 v.渗出
educator n.  教育家
radically ad. 根本地, 完全地
choreographer n.  舞蹈指导
environmentalist n.  环境保护论者, 环境论者, 环境论信奉者
endogenous a.内生的, 内成的
horseshoe n.  马蹄铁
specifically ad.特别地；明确地，具体地
susceptible a.易受外界影响的,易受感染的
envision v.想象；预想
upside n.  上边,上部
adept a.熟练的, 老练的 n.老手, 擅长者
notation n.  符号
capsize v.  (特指船)倾覆
elicit vt.  得出, 引出, 抽出, 引起
financier n.  财政家, 金融家
simultaneously ad.同时地
rodent n.啮齿类动物
seafarer n.  船员, 航海家
uneven a.不平坦的,不均匀的
repudiate v.  批判
faunal a.动物区系的
nighttime n.  夜间
pry v.  探查
simulation n.  仿真, 假装
karst n.  石灰岩地区常见的地形
interstellar a.星际的
gibraltar n.   直布罗陀(海峡)
refill v.再装满,再充填
caravan n.旅行队,商队, 大篷车
microorganism n.微生物
inequality n.不平等, 不平均
intervention n.  干涉
immobile a.不动的, 静止的
entity n.  实体
stabilize v.  稳定
predominantly ad.主要地, 占优势地
assistance n.  协助, 援助, 补助,
persistent a.持久稳固的
mound n.土墩，沙土堆
sect n.宗派, 教派
vaudeville n.  歌舞杂耍
uncertainty n.  无常, 不确定
carnivore n.  食肉动物
theorize v.  建立理论, 理论化
tundra n.  苔原, 冻土地带
localize v.集中,局部化
dependable a.可靠的, 可信赖的
anomaly n.  不规则, 异常的人或物
gravitational a.重力的, 引力作用的
abundantly ad.大量地, 丰富地
intensify v.加强,强化
cuneiform a./n. 楔形的,楔形文字(的)
gamma n.100万分之1克, 微克
nebula n.星云
parasitic a.寄生的, 由寄生虫引起的
documentation n.  文件
lithosphere n.  [地]岩石圈
richness n.富饶；富裕
sulfate n.硫酸盐
steamship n.  汽船, 轮船
lithospheric a. 岩石圈的; 陆界的
meager n.  兆
unchanging a.不变的
reconstruct v.  重建, 改造
conventionally ad. 照惯例
judgment n.  判断
georgia n.  (美)乔治亚州
prolific a.多产的；多子嗣的
millimeter n.  毫米
antiquity n.古代
adobe n.泥砖，土坯
utilitarian a.功利的 n.功利主义者
thoroughly ad.  十分地, 彻底地
stunt n.特技；噱头 v.阻碍正常成长
accomplishment n.  成就, 完成
cannonball n.  炮弹
transitional a.变迁的, 过渡期的
amplification n.  扩大
subsurface a. 地下的, 表面下的n. 地表下岩石
semiskilled a.半熟练的
mackerel n.  鲭
midwest n.  中西部
mutoscope n.  (早期的)电影放映机
ethnic a.人种的, 种族的
cottonwood n.  [植]三叶杨
theorist n.  理论家
resilience n.弹性，弹力
mutually ad.互相地, 互助
neon n.  [化]氖
bladder n.  膀胱, 气泡
wed v. 娶, 嫁, 结婚
advancement n.  前进, 进步
respiration n.  呼吸, 呼吸作用
transit n.运输，载运
corona n.  冠壮物
therapy n.  治疗
speculative a. 推测的, 思索的,投机的
impressionist n.  印象主义者
incentive a.刺激的, 鼓励的 n.动机
silica n.[化]硅石
hunter-gatherer n.  捕猎者-采集者
rudimentary a.基本的,初步的,未充分发展的
involvement n.连累, 包含
otter n.  水獭, 水獭皮
deciduous a.每年落叶的, 非永久性的
large-scale a.  大规模的
broadside n.(船)舷侧
tethys n.古地中海,  特提斯海
decipher vt.译解
broadway n.& a.百老汇大街(的)
unfamiliar a.不熟悉的
raven n.  大乌鸦
commuter n. 通勤者, 每日往返上班者
movable a.活动的，变动的
easter n.  [宗](耶稣)复活节
tidal a.潮汐的, 定时涨落的
eusocial a. (昆虫)完全社会性的
oliver n.  脚踏铁槌
ideology n.  意识形态
solitary a.孤独的
intensively ad. 加强地, 集中地
reheat vt.  再热
financially ad. 财政上(金融上)
diversification n.  变化, 多样化
sedentary a. 久坐的,固定不动的
outwork n.外包活
eohippus n.  <古生>始祖马
nutritionally ad. 在营养上, 营养方面
mythical a.神话的, 虚构的
handcraft n.  手工, 手艺
porosity n.  多孔性
backup n.  后援, 支持
understory n.林下叶层
shaman n.  萨满教的道士, 僧人或巫师
stylize vt. 使风格化, 仿效 ... 的风格
autonomous a.自治的
dandelion n.  蒲公英
substantially ad.大体上；本质上
internally ad. 内部地, 国内地
poorly a.不舒服的  ad.贫穷地
popularly ad.大众地, 通俗地
devoid a.全无的, 缺乏的
guinea n. 几内亚
landform n.  地形, 地貌
pinpoint vt.确定,精确地定位.a.十分精确的
rancher n.大牧场主, 大牧场工人
mosaic n.镶嵌细工，马赛克
maturation n.  化脓, 成熟
recruitment n.  征募新兵, 补充
preschooler n.  (美)学龄前儿童
loft n.  阁楼
exotic a. 外来的
practitioner n.从业者, 开业者
photosynthesis n.  光合作用
diffuse v.散播,传播
flagellum n.[动]鞭毛
phytoremediation n.植物除污, 植物治理法
chlorosis n.  萎黄病, 变色病
piecework n.  计件工作
polynesian n. 波利尼西亚人, 波利尼西亚语
garrison n.守备队, 驻地
crevice n.裂缝
scavenger n.清道夫,食腐动物
antibiotic n.抗生素
legume n.  豆类, 豆荚
cohesion n.  结合, 凝聚
stave n.桶材；窄板  v.敲破
fungal a.真菌的
synthesize v.  综合, 合成
magnetosphere n.  磁气圈
chisel n.  凿子 v.  砍凿
bloodhound n.  一种大侦探犬
rental n.租金额
informal a.不正式的
tannin n.  [化]丹宁酸
woody a.多树木的,木质的
prehistory n.史前时代, 史前学
centralize v.集聚, 集中
consistently ad.一致地；始终如一地
cajun n.  移居美国路易斯安纳州的法人后裔
intrinsically ad. 内在地, 固有地
geologically ad. 地质学上
gratify vt.  使满足
ledge n.岩架,岩石突出部
cowboy n.牧童；牛仔
maritime a.海上的, 海事的
vastly ad.巨大地；广阔地
shellfish n.  贝, 甲壳类动物
dy n.  [化]镝(=dysprosium)
agriculturalist n.农学家
adorn v.  装饰
pakistan n.  巴基斯坦(南亚国家)
rhetorical a.带修辞色彩的
inferential a.推理的, 推论的
partial a.部分的,局部的
audio a.音频的,声音的
planetarium n.天文馆
aristocratic a.贵族政治的,贵族的
strand vt.使搁浅
conductance n.电导, 导率
rainforest n.  雨林
endocrine n.  内分泌
hemlock n.铁杉,毒芹
fine-grained a.有细密纹理的, 细颗粒的
reasonably ad.有理地；合理地
commensalism n.  共栖
parasitism n.  寄生状态, 寄生病
modernize v.  使现代化
boredom n.  厌倦
low-quality n.劣等，低质量的
coverage n.  覆盖
feminist n.  男女平等主义者
warrior n.勇士，武士
outgoing a.外向的
baltic a波罗的海的, 波罗的语的
nest-building n.筑巢
recruit vt.招募,吸收.n.新成员, 新兵
hereditary a.世袭的,遗传的
counterpart n.职务相当的人,副本
strut n.高视阔步.v.昂首阔步地走
prowl v.  巡游
consensus n.一致，同意
ethic n.道德规范
individualistic a.个人主义的
stylistic a.风格上的,文体上
eka n.  准(第一)
exaggeration n.夸张
softwood n.  软木材
arsenic n.[化]砷, 砒霜
slate n.板岩,石板
reptilian n.爬行类动物
overirrigation n.过量灌溉
conclusive a. 决定性的,结论性的
honeybee n.  蜜蜂
satiric a.讽刺的,挖苦的
spruce n.  云杉
diffusion n.传播，散布
differentiate v.区分 ,区别
simulate vt. 模拟, 模仿
fetus n.  胎儿
feeder n.  饲养员
reminder n.提醒物；暗示
foodstuff n.  食品, 粮食
informant n.  通知者, 告密者
allocate vt.  分派, 分配
cedar n.  雪松
slab n.厚板，平板
coexist vi.  共存
moose n.  [动] 驼鹿
cod abbr.  货到付款 (cash on delivery) n.鳕鱼
migrant n.移居者, 候鸟
frontal n.  前沿
hexagonal a.六角形的,六边的
sizable a.相当大的
mineralization n. 矿化作用,成矿作用
krypton n.  [化] 氪
chlorophyll n.  [生化]叶绿素
xenon n.氙(惰性气体的一种,元素符号xe)
penicillin n.[微]青霉素（一种抗菌素，音译名为盘尼西林）
homestead n.家宅，宅基
prestigious a.享有声望的
frustration n. 挫败, 挫折
imitative a.仿制的,模仿的
incubate vt.  孵卵
hectare n.  公顷（等于1万平方米）
creator n.创建者, 创作者
linsey-woolsey n.棉毛织品, 亚麻毛织品
infrastructure n.下部构造,基础下部组织
novelist n.(长篇)小说家
peruvian n./a.秘鲁人(的)
osprey n.  白色的羽毛, 鱼鹰
evaluation n.  估价, 评价
huckleberry n.  越橘类
elk n. 麋鹿
darken v.(使)变暗
historically ad.历史上地
disorient vt.  使失去方向感, 使迷惑
anthocyanin n.  [植]花青素, [化]花色醣苔
acidic a.酸的,酸性的
fingerboard n. 键盘
watercraft n.  船只
buildup n.集结, 增长
varnish n.清漆；光泽.vt.涂清漆，使光亮
cop n.  警官, 巡警
symbiosis n.[生]共生(现象),合作关系
presidential a. 总统的
gut n.内脏
organizational a.组织的
abruptly ad.突然地；粗鲁地
administrative a.管理的，行政的
hypothetical a.假说的，臆说的
pastoral a.田园生活的，宁静的
interglacial a.间冰期的
bias n. 偏见vt.使存偏见
detractor n.诽谤者
